Player,Years,Teams,GP,Goal,Shots,Sh%,TOI,Cap,Star
Aaron Volpatti,5,2,114,5,63,0.07936507937,904,0,0
Adam Cracknell,5,2,82,6,81,0.07407407407,725,575000,0
Adam Henrique,5,1,269,68,475,0.1431578947,4847,4000000,0
Adam Lowry,1,1,80,11,104,0.1057692308,1100,828333,0
Aleksander Barkov,2,1,125,24,210,0.1142857143,2165,925000,1
Ales Hemsky,10,3,618,139,1323,0.1050642479,10479,4000000,1
Alex Chiasson,3,2,162,30,262,0.1145038168,2310,1200000,0
Alex Galchenyuk,3,1,193,42,352,0.1193181818,2841,2800000,0
Alex Killorn,3,1,191,39,385,0.1012987013,3217,2550000,0
Alex Ovechkin,10,1,760,475,3830,0.1240208877,16268,9538461,1
Alex Steen,10,2,679,180,1789,0.1006148686,12262,5800000,0
Alex Tanguay,11,5,639,167,896,0.1863839286,11549,3500000,0
Alexander Semin,10,3,583,228,1761,0.129471891,10662,1100000,0
Alexander Wennberg,1,1,68,4,85,0.04705882353,1062,925000,0
Alexandre Bolduc,7,2,65,2,63,0.03174603175,532,0,0
Alexandre Burrows,10,1,688,175,1368,0.1279239766,11008,4500000,0
Anders Lee,3,1,100,35,267,0.1310861423,1456,3750000,0
Andre Burakovsky,1,1,53,9,65,0.1384615385,685,894166,0
Andrej Nestrasil,1,3,54,7,82,0.08536585366,721,912500,0
Andrew Agozzino,1,1,1,0,1,0,10,600000,0
Andrew Cogliano,8,2,622,120,968,0.1239669421,9281,3000000,0
Andrew Copp,1,1,1,0,4,0,13,925000,0
Andrew Desjardins,5,2,285,15,297,0.05050505051,2918,800000,0
Andrew Ladd,10,4,691,185,1620,0.1141975309,11499,2816000,1
Andrew Miller,1,1,9,1,14,0.07142857143,124,630000,0
Andrew Shaw,4,1,244,56,433,0.129330254,3721,2000000,0
Andy Andreoff,1,1,18,2,14,0.1428571429,154,587500,0
Anthony Duclair,1,2,18,1,18,0.05555555556,219,772500,0
Anthony Peluso,3,1,107,3,51,0.05882352941,619,675000,0
Antoine Roussel,3,1,200,34,272,0.125,2609,2000000,0
Antoine Vermette,10,4,777,187,1471,0.1271244052,13635,3750000,0
Anton Lander,4,1,132,8,144,0.05555555556,1653,987500,0
Anze Kopitar,9,1,683,218,1782,0.1223344557,14215,6800000,1
Artem Anisimov,7,2,412,86,765,0.1124183007,6383,3283333,0
B.J. Crombeen,8,4,445,34,569,0.05975395431,4989,0,0
Barclay Goodrow,1,1,60,4,68,0.05882352941,664,626666,0
Beau Bennett,3,1,96,10,138,0.07246376812,1223,800000,0
Ben Smith,5,3,175,25,207,0.1207729469,2228,1500000,0
Ben Street,3,2,22,0,34,0,255,650000,0
Benoit Pouliot,9,6,429,95,698,0.1361031519,5680,4000000,0
Blair Jones,9,4,132,7,147,0.04761904762,1283,575000,0
Blake Comeau,9,5,483,88,900,0.09777777778,7187,2400000,0
Blake Wheeler,7,3,533,147,1294,0.1136012365,9233,5600000,1
Bo Horvat,1,1,68,13,93,0.1397849462,834,894166,0
Bobby Farnham,1,1,11,0,6,0,79,575000,0
Bobby Robins,1,1,3,0,0,0,23,0,0
Bobby Ryan,8,2,526,188,1455,0.129209622,9212,7250000,1
